Autonomous community,Income
Andalucia,25601
Aragon,32067
Asturias,28369
Baleares,29368
Canarias,26392
Cantabria,30447
Castilla-Leon,28890
Castilla-La Mancha,26060
Cataluña,34982
Valencia,27603
Extremadura,22947
Galicia,27698
Madrid,37687
Murcia,27027
Navarra,38086
Pais Vasco,36887
La Rioja,30598
Ceuta,31494
Melilla,36038
