Country,GINI
Austria,30.2
Belgium,27.2
Bulgaria,40.3
Croatia,28.9
Cyprus,31.2
Czechia,25.3
Denmark,27.7
Estonia,30.8
Finland,27.7
France,32.4
Germany,31.7
Greece,33.1
Hungary,30.0
Ireland,30.6
Italy,35.2
Latvia,34.5
Lithuania,35.3
Luxembourg,34.2
Malta,31.0
Netherlands,29.2
Poland,30.2
Portugal,32.8
Romania,34.8
Slovak Republic,23.2
Slovenia,24.2
Spain,34.3
Sweden,29.3
