Region,Illiterate,Risk-of-poverty
Andalucia,2.37,32.30
Aragon,0.67,15.80
Asturias,0.57,20.40
Baleares,1.29,17.60
Canarias,1.81,28.40
Cantabria,0.24,15.40
Castilla-Leon,0.51,17.90
Castilla-La Mancha,1.57,27.40
Cataluña,1.18,14.80
Valencia,1.29,25.10
Extremadura,2.21,32.30
Galicia,0.77,20.20
Madrid,0.63,15.20
Murcia,2.39,27.70
Navarra,0.74,9.80
Pais Vasco,0.47,12.20
La Rioja,0.92,16.10
Ceuta,1.66,32.30
Melilla,2.58,30.10
