,city,lat,lng,region_clusters
0,Paris,48.8566,2.3522,7
1,Nice,43.7034,7.2663,0
2,Toulouse,43.6045,1.444,6
3,Marseille,43.2964,5.37,11
4,Rennes,48.1147,-1.6794,5
5,Grenoble,45.1715,5.7224,8
6,Nantes,47.2181,-1.5528,10
7,Montpellier,43.6119,3.8772,11
8,Lyon,45.76,4.84,8
9,Rouen,49.4428,1.0886,4
10,Strasbourg,48.5833,7.7458,3
11,Nancy,48.6936,6.1846,3
12,Metz,49.1203,6.1778,3
13,Brest,48.39,-4.49,5
14,Mulhouse,47.75,7.34,3
15,Limoges,45.8353,1.2625,2
16,Orléans,47.9025,1.909,7
17,Bordeaux,44.84,-0.58,9
18,Le Havre,49.49,0.1,4
19,Lille,50.6278,3.0583,1
20,Reims,49.2628,4.0347,1
21,Saint-Étienne,45.4347,4.3903,8
22,Toulon,43.1258,5.9306,0
23,Dijon,47.3167,5.0167,8
24,Angers,47.4736,-0.5542,10
25,Nîmes,43.838,4.361,11
26,Villeurbanne,45.7667,4.8803,8
27,Clermont-Ferrand,45.7831,3.0824,2
28,Le Mans,48.0077,0.1984,4
29,Aix-en-Provence,43.5263,5.4454,11
30,Amiens,49.892,2.299,1
31,Tours,47.2436,0.6892,10
32,Boulogne-sur-Mer,50.7264,1.6147,1
33,Annecy,45.916,6.133,8
34,Perpignan,42.6986,2.8956,6
35,Boulogne-Billancourt,48.8352,2.2409,7
36,Besançon,47.24,6.02,3
37,Belfort,47.64,6.85,3
38,Saint-Denis,48.9356,2.3539,7
39,Argenteuil,48.95,2.25,7
40,Montreuil,48.8611,2.4436,7
41,Caen,49.18,-0.37,4
42,Roubaix,50.6901,3.1817,1
43,Tourcoing,50.7239,3.1612,1
44,Nanterre,48.8988,2.1969,7
45,Avignon,43.95,4.8075,11
46,Vitry-sur-Seine,48.7875,2.3928,7
47,Épinal,48.1744,6.4512,3
48,Créteil,48.7911,2.4628,7
49,Poitiers,46.58,0.34,10
50,Dunkerque,51.0383,2.3775,1
51,Aubervilliers,48.9131,2.3831,7
52,Versailles,48.8053,2.135,7
53,Aulnay-sous-Bois,48.9386,2.4906,7
54,Carrières-sur-Seine,48.9108,2.2889,7
55,Colombes,48.9236,2.2522,7
56,Courbevoic,48.8978,2.2531,7
57,Rueil-Malmaison,48.876,2.181,7
58,Champigny-sur-Marne,48.8172,2.5156,7
59,Béziers,43.3476,3.219,6
60,Pau,43.3,-0.37,9
61,La Rochelle,46.1591,-1.1517,10
62,Saint-Maur-des-Fossés,48.7994,2.4997,7
63,Calais,50.9481,1.8564,1
64,Cannes,43.5513,7.0128,0
65,Antibes,43.5808,7.1239,0
66,Drancy,48.93,2.45,7
67,Ajaccio,41.9267,8.7369,0
68,Mérignac,44.8386,-0.6436,9
69,Saint-Nazaire,47.2806,-2.2086,5
70,Colmar,48.0817,7.3556,3
71,Issy-les-Moulineaux,48.8239,2.27,7
72,Noisy-le-Grand,48.8478,2.5528,7
73,Courcouronnes,48.6239,2.4294,7
74,Vénissieux,45.6978,4.8867,8
75,Cergy,49.0361,2.0631,7
76,Bourges,47.0844,2.3964,2
77,Levallois-Perret,48.895,2.2872,7
78,La Seyne-sur-Mer,43.1,5.883,0
79,Pessac,44.8067,-0.6311,9
80,Valence,44.9333,4.8917,11
81,Quimper,47.9967,-4.0964,5
82,Antony,48.7539,2.2975,7
83,Ivry-sur-Seine,48.8078,2.3747,7
84,Montélimar,44.5581,4.7508,11
85,Troyes,48.2997,4.0792,7
