country,headie1,headie2
GRC,2016,35
GRC,2017,34.4
GRC,2018,32.9
HUN,1999,28
HUN,2000,26
HUN,2001,25
HUN,2002,24
HUN,2003,28.2
HUN,2004,29.9
HUN,2005,34.7
HUN,2006,28.3
HUN,2007,27.9
HUN,2008,27.5
HUN,2009,27
HUN,2010,29.4
HUN,2011,29.2
HUN,2012,30.8
HUN,2013,31.5
HUN,2014,30.9
HUN,2015,30.4
HUN,2016,30.3
HUN,2017,30.6
HUN,2018,29.6
HUN,2019,28
IRL,1995,33
IRL,1996,33
IRL,1997,33
IRL,1998,34
IRL,1999,32
IRL,2000,33
IRL,2001,29
IRL,2002,32.3
IRL,2003,32.9
IRL,2004,33.6
IRL,2005,33.8
IRL,2006,32.7
IRL,2007,31.9
IRL,2008,30.9
IRL,2009,32.7
IRL,2010,32.3
IRL,2011,32.9
IRL,2012,33.2
IRL,2013,33.5
IRL,2014,31.9
IRL,2015,31.8
IRL,2016,32.8
IRL,2017,31.4
IRL,2018,28.9
IRL,2019,28.3
ITA,1995,33
ITA,1996,32
ITA,1997,31
ITA,1998,31
ITA,1999,30
ITA,2000,35.3
ITA,2001,29
ITA,2002,33.1
ITA,2003,34.9
ITA,2004,34.3
ITA,2005,33.8
ITA,2006,33.7
ITA,2007,32.9
ITA,2008,33.8
ITA,2009,33.8
ITA,2010,34.7
ITA,2011,35.1
ITA,2012,35.2
ITA,2013,34.9
ITA,2014,34.7
ITA,2015,35.4
ITA,2016,35.2
ITA,2017,35.9
ITA,2018,33.4
ITA,2019,32.8
LVA,1999,35.2
LVA,2000,34
LVA,2001,34.5
LVA,2002,34.5
LVA,2003,35.4
LVA,2004,36.4
LVA,2005,39
LVA,2006,35.6
LVA,2007,37.5
LVA,2008,37.2
LVA,2009,36
LVA,2010,35
LVA,2011,35.8
LVA,2012,35.2
LVA,2013,35.5
LVA,2014,35.1
LVA,2015,34.2
LVA,2016,34.3
LVA,2017,35.6
LVA,2018,35.1
LVA,2019,35.2
LTU,1999,35.4
LTU,2000,31
LTU,2001,31
LTU,2002,37
LTU,2003,37.9
LTU,2004,37
LTU,2005,35.3
LTU,2006,34.4
LTU,2007,34.8
LTU,2008,35.7
LTU,2009,37.2
LTU,2010,33.6
LTU,2011,32.5
LTU,2012,35.1
LTU,2013,35.3
LTU,2014,37.7
LTU,2015,37.4
LTU,2016,38.4
LTU,2017,37.3
LTU,2018,35.7
LTU,2019,35.4
LUX,1995,29
LUX,1996,28
LUX,1997,25
LUX,1998,26
LUX,1999,27
LUX,2000,30.4
LUX,2001,27
LUX,2002,29.6
LUX,2003,30.2
LUX,2004,30.2
LUX,2005,30.8
LUX,2006,30.9
LUX,2007,31.1
LUX,2008,32.6
LUX,2009,31.2
LUX,2010,30.5
LUX,2011,32.1
